评论,向量
"一切都是 维稳 焦点 放在 病毒 
",0 0 0 0 0 0 -0.06443043713127507 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"公开 破解 谣言 方法 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"矛盾 两句 承认 肺炎 事实 谣言 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"压不住 外报 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"八个 道歉 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"闭嘴 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"转个 十几天 旧闻 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"官方 发布 想 官方 平时 撒 谎太多 信从 一大堆 假话 挑 一两句 本事 反而 小道消息 大部分 准确 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"抓 就算 抓 免得 爱说 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"拘留 造谣 放 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"吃 狗屁 野味 吃 吃 吃 非典 忘 不长 记性 吃 野味 牛 逼 好吃 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.024974635013583504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"黄陂区 盘龙城 昨天 停水 通知 恢复 供水 改 黄陂 凯迪 水务 一家 私营企业 隔三差五 停水 今年夏天 最热 竟然 连续 一周 停水 搞 民怨沸腾 凯迪 水务 湖北 天门市 服务 人大代表 投票 天门 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"为啥 非得 吃 野生动物 家禽 不吃 非要 吃 野生动物 蛇 龟 狗 野生动物 吃 补是 恶疾 缠身 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"希望 早日康复 马上 就要 过年 平安 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.040794659583497345 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.029039568841506422 0 0.023602530176649275 0 0 0 0 0 0 0 0 0 0 0 0 
"过年 吃海鲜 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.023602530176649275 0 0 0 0 0 0 0 0 0 0 0 0 
"传谣 造谣 等待 官方 通报 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0.025262666584745425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"当年 非典 北京市 回事 估计 官方 通报 一部分 事实 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03351384540645546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.024974635013583504 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"倒 最终 昨天 跨年 敢出去 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"检测 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02873774597796804 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"听说 卖 野味 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"吃 东西 非得 吃 猫 吃 狗 吃 野味 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"凤凰 干得 不错 跑 最快 鳖 梅花鹿 合法 养殖 旱獭 合法 生意 搞 死 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"环境 确实 这件 事多 整治 整治 类似 地方 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"人类 每次 瘟疫 是从 滥杀 滥 吃 动物 新年伊始 手下 口下留情 众生 念 一句 嗡嘛 吽 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"脏乱差 环境 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"害 人类 报应 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"长 记性 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"不说 土拨鼠 猴子 兔子 光是 三样 检疫 售卖 活体 非常 危险 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"饭店 写 狗肉 馆 扭头 走 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"从上到下 蝇营狗苟 唯利是图 利欲熏心 死 报应 活该 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"信息 更新 透明 点别 啥事 捂 谣言 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"究竟 性质 肺炎 
",0.2178344702823324 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"造谣 可恨 官方 可信 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"官方消息 不信谣 传谣 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.025262666584745425 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"确诊 称呼 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"雷锋 人物 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"当年 肆虐 不知情 情况 坐火车 广州 大巴 珠海 澳门 想想 命大 当年 瞒报 疫情 一味 指责 小道消息 肆虐 塔西 佗 陷阱 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.038715886298017234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"官方 造谣 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"回 报道 谣言 遥遥领先 预言 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"看似 简单 感冒 抽血 检查 患者 医院 没良心 就事论事 接受 反驳 喷 
",0 0 -0.11494409619492782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.027101419745684474 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"数十名 包括 发烧 患者 
",0 0 -0.11494409619492782 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
"过年 希望 所有人 欢度春节 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.03757402856374755 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.023602530176649275 0 0 0 0 0 0 0 0 0 0 0 0 
"赤峰 众益 欺骗 富龙 集团 员工 欺骗 市政府 工作组 欠债 七个 多亿 钱 唆使 搞 破产 重整 方式 甩掉 债务 中止 诉讼 手段 
",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
